Year,Game,Platform,Publisher
1980,Space Invaders,Atari,Taito
1982,Pac-Man,"7,271,844","Namco,Atari"
1983,Ms. Pac-Man,"1,963,078","GCC,Midway"
1986,Super Mario Bros.,Nintendo,Nintendo R&D4
1987,The Legend of Zelda,[6][7],"2,000,000"
1988,Super Mario Bros./Duck Hunt,"2,000,000+",Nintendo
1990,Super Mario Bros. 3,"8,000,000",Nintendo R&D4
1991,Sonic the Hedgehog,Sega,Sonic Team
1992,Sonic the Hedgehog 2,"2,000,000",Sega
1993,Mortal Kombat,Acclaim,Midway
1994,Donkey Kong Country,Nintendo,Rare
1996,Super Mario 64,N64,Nintendo EAD
1997,Mario Kart 64,[19][21],"1,500,000+"
