Year,Game,Platform,Publisher
1980,Space Invaders,Taito,Atari
1982,Pac-Man,"Namco,Atari","7,271,844"
1983,Ms. Pac-Man,"GCC,Midway","1,963,078"
1986,Super Mario Bros.,Nintendo R&D4,Nintendo
1987,The Legend of Zelda,"2,000,000",[6][7]
1988,Super Mario Bros./Duck Hunt,Nintendo,"2,000,000+"
1990,Super Mario Bros. 3,Nintendo R&D4,"8,000,000"
1991,Sonic the Hedgehog,Sonic Team,Sega
1992,Sonic the Hedgehog 2,Sega,"2,000,000"
1993,Mortal Kombat,Midway,Acclaim
1994,Donkey Kong Country,Rare,Nintendo
1996,Super Mario 64,Nintendo EAD,N64
1997,Mario Kart 64,"1,500,000+",[19][21]
1.,The Legend of Zelda: Ocarina of Time,Nintendo EAD,Nintendo
3.,WWF Warzone,"Iguana West,Probe Entertainment",Acclaim Entertainment
4.,NFL Blitz '99,Midway Games,Midway Games
5.,WCW/NWO Revenge,"Asmik Ace Entertainment,AKI Corporation",THQ
6.,Resident Evil 2,Capcom,Capcom
7.,Banjo-Kazooie,Rare,Nintendo
8.,Gran Turismo,Japan Studio,Sony Computer Entertainment
9.,Madden NFL 99,EA Tiburon,Electronic Arts
10.,Super Mario 64,Nintendo EAD,Nintendo
1.,Donkey Kong 64,Rare,Nintendo
5.,WWF Attitude,Acclaim Studios Salt Lake City,Acclaim Entertainment
6.,Pokémon Pinball,"Jupiter,HAL Laboratory",Nintendo
9.,Driver,Reflections Interactive,GT Interactive
10,Final Fantasy VIII,Square,Square Electronic Arts
1.,Pokémon Gold/Silver,Game Freak,Nintendo
3.,Tony Hawk's Pro Skater,Neversoft,Activision
5.,The Legend of Zelda: Majora's Mask,Nintendo EAD,Nintendo
6.,Madden NFL 2001,EA Tiburon,Electronic Arts
8.,Diablo II,Blizzard North,Blizzard Entertainment
9.,Pokémon Yellow,Game Freak,Nintendo
10,Perfect Dark,Rare,Rare
1.,Madden NFL 2002,EA Tiburon,Electronic Arts
2.,Grand Theft Auto III,DMA Design,Rockstar Games
3.,Tony Hawk's Pro Skater 2,Neversoft,Activision
5.,Harry Potter and the Sorcerer's Stone,Argonaut Games,Electronic Arts
6.,Metal Gear Solid 2: Sons of Liberty,Konami Computer Entertainment Japan,Konami
7.,Gran Turismo 3: A-Spec,Polyphony Digital,Sony Computer Entertainment
8.,The Sims,Maxis,Electronic Arts
9.,Pokémon Gold/Silver,Game Freak,Nintendo
1.,Grand Theft Auto: Vice City,Rockstar North,Rockstar Games
