,title,publisher,release_date,Platform,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Released on PS2
0,Need for Speed: Most Wanted,Electronic Arts,2005-11-15,PS2,Racing,2.03,1.79,0.08,0.47,4.37,True
1,Need for Speed: Most Wanted,Electronic Arts,2005-11-16,PS2,Racing,2.03,1.79,0.08,0.47,4.37,True
2,Need for Speed: Most Wanted,Electronic Arts,2009-08-11,PS2,Racing,2.03,1.79,0.08,0.47,4.37,True
3,Grand Theft Auto: Vice City,Rockstar Games,2002-10-29,PS2,Action,8.41,5.49,0.47,1.78,16.15,True
4,Grand Theft Auto: Vice City,Rockstar Games,2002-10-28,PS2,Action,8.41,5.49,0.47,1.78,16.15,True
5,Grand Theft Auto: Vice City,Rockstar Games,2003-05-12,PS2,Action,8.41,5.49,0.47,1.78,16.15,True
6,Grand Theft Auto: San Andreas,Rockstar Games,2004-10-26,PS2,Action,9.43,0.4,0.41,10.57,20.81,True
7,Grand Theft Auto: San Andreas,Rockstar Games,2005-06-07,PS2,Action,9.43,0.4,0.41,10.57,20.81,True
8,Grand Theft Auto: San Andreas,Rockstar Games,2008-10-20,PS2,Action,9.43,0.4,0.41,10.57,20.81,True
9,Grand Theft Auto: San Andreas,Rockstar Games,2012-12-11,PS2,Action,9.43,0.4,0.41,10.57,20.81,True
10,Grand Theft Auto: San Andreas,Rockstar Games,2011-09-01,PS2,Action,9.43,0.4,0.41,10.57,20.81,True
11,Grand Theft Auto: San Andreas,Rockstar Games,2014-01-01,PS2,Action,9.43,0.4,0.41,10.57,20.81,True
12,Super Mario Bros. 3,Nintendo,1990-02-12,NES,Platform,9.54,3.44,3.84,0.46,17.28,False
13,Super Mario Bros. 3,Nintendo,2007-11-05,NES,Platform,9.54,3.44,3.84,0.46,17.28,False
14,Super Mario Bros. 3,Nintendo,2014-04-17,NES,Platform,9.54,3.44,3.84,0.46,17.28,False
15,RollerCoaster Tycoon,Hasbro Interactive,1999-03-22,XB,Strategy,0.1,0.03,0.0,0.0,0.13,False
16,RollerCoaster Tycoon,Atari,2003-03-25,XB,Strategy,0.1,0.03,0.0,0.0,0.13,False
