,Game,Watch time (hrs),Stream time (hrs),Peak viewers,Peak channels,Streamers,Average viewers,Average channels,Average viewer ratio,Year,publisher,release_date_x,Platform,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,metascore,userscore,year,metascore_binned
0,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2013-09-17,PS3,Action,7.01,9.27,0.97,4.14,21.4,97.0,83.0,2013.0,Excellent
1,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2013-09-17,PS3,Action,7.01,9.27,0.97,4.14,21.4,81.0,27.0,2022.0,Great
3,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2013-09-17,PS3,Action,7.01,9.27,0.97,4.14,21.4,97.0,83.0,2014.0,Excellent
4,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2013-09-17,PS3,Action,7.01,9.27,0.97,4.14,21.4,79.0,37.0,2022.0,Good
5,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2013-09-17,PS3,Action,7.01,9.27,0.97,4.14,21.4,97.0,79.0,2014.0,Excellent
6,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2013-09-17,PS3,Action,7.01,9.27,0.97,4.14,21.4,96.0,78.0,2015.0,Excellent
7,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2013-09-17,X360,Action,9.63,5.31,0.06,1.38,16.38,97.0,83.0,2013.0,Excellent
8,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2013-09-17,X360,Action,9.63,5.31,0.06,1.38,16.38,81.0,27.0,2022.0,Great
10,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2013-09-17,X360,Action,9.63,5.31,0.06,1.38,16.38,97.0,83.0,2014.0,Excellent
11,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2013-09-17,X360,Action,9.63,5.31,0.06,1.38,16.38,79.0,37.0,2022.0,Good
12,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2013-09-17,X360,Action,9.63,5.31,0.06,1.38,16.38,97.0,79.0,2014.0,Excellent
13,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2013-09-17,X360,Action,9.63,5.31,0.06,1.38,16.38,96.0,78.0,2015.0,Excellent
14,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2013-09-17,PS4,Action,3.8,5.81,0.36,2.02,11.98,97.0,83.0,2013.0,Excellent
15,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2013-09-17,PS4,Action,3.8,5.81,0.36,2.02,11.98,81.0,27.0,2022.0,Great
17,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2013-09-17,PS4,Action,3.8,5.81,0.36,2.02,11.98,97.0,83.0,2014.0,Excellent
18,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2013-09-17,PS4,Action,3.8,5.81,0.36,2.02,11.98,79.0,37.0,2022.0,Good
19,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2013-09-17,PS4,Action,3.8,5.81,0.36,2.02,11.98,97.0,79.0,2014.0,Excellent
20,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2013-09-17,PS4,Action,3.8,5.81,0.36,2.02,11.98,96.0,78.0,2015.0,Excellent
21,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2013-09-17,XOne,Action,2.66,2.01,0.0,0.41,5.08,97.0,83.0,2013.0,Excellent
