,Game,Watch time (hrs),Stream time (hrs),Peak viewers,Peak channels,Streamers,Average viewers,Average channels,Average viewer ratio,Year
1,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023
2,League of Legends,1322721813.0,25621285.0,2597522,6356,938141,151012,2925,51.63,2023
3,VALORANT,988201714.0,39976969.0,1196352,9350,1587006,112821,4564,24.72,2023
4,Counter-Strike,686253955.0,11619337.0,1117445,4016,864073,78348,1326,59.06,2023
5,Fortnite,617312328.0,59282240.0,3291525,85481,4945424,70477,6768,10.41,2023
6,Minecraft,583090080.0,19474295.0,1702513,4833,2074431,66570,2223,29.94,2023
7,Dota 2,550839394.0,8375677.0,1105363,2133,259924,62888,956,65.77,2023
8,World of Warcraft,437092004.0,11117088.0,579740,6405,246361,49902,1269,39.32,2023
9,Apex Legends,400107919.0,29760869.0,463109,9226,1352623,45679,3397,13.44,2023
10,Escape from Tarkov,325649531.0,7142013.0,563955,4787,167313,37178,815,45.6,2023
11,Call of Duty: Warzone,300414969.0,16084898.0,292484,8063,888334,34297,1836,18.68,2023
12,Teamfight Tactics,257378101.0,3075150.0,139118,1324,199066,29384,351,83.7,2023
13,Sports,251262895.0,1128747.0,1424678,1510,91107,28686,128,222.6,2023
14,Diablo IV,248678547.0,6607414.0,954905,21450,359231,28391,754,37.64,2023
15,Overwatch 2,236097462.0,14026493.0,248662,4546,930091,26954,1601,16.83,2023
16,Rust,215316995.0,3447178.0,566990,1218,207406,24582,393,62.46,2023
17,Dead by Daylight,204286766.0,13802047.0,102418,3997,559201,23323,1575,14.8,2023
18,FIFA 23,180890401.0,6446315.0,486778,4722,819070,20651,735,28.06,2023
19,Music,175835516.0,9898157.0,147590,6679,252672,20074,1130,17.76,2023
20,Special Events,173938405.0,665305.0,3462517,11347,68725,19858,75,261.44,2023
21,Slots,171415570.0,900191.0,81744,218,32059,19570,102,190.42,2023
22,Virtual Casino,146914500.0,570039.0,86753,227,16384,16772,65,257.73,2023
23,Hearthstone,146044263.0,1203747.0,58558,465,61364,16673,137,121.32,2023
24,EA Sports FC 24,140133519.0,3129554.0,384755,6283,356890,15998,357,44.78,2023
25,Call of Duty: Modern Warfare II,136044395.0,27811296.0,350693,11884,1852430,15531,3175,4.89,2023
26,Tom Clancy's Rainbow Six Siege,130084960.0,10022061.0,216741,2879,1016027,14851,1144,12.98,2023
27,Lost Ark,126863000.0,2406317.0,325702,1058,45380,14483,274,52.72,2023
28,Genshin Impact,119643894.0,10393394.0,354726,7442,412403,13659,1186,11.51,2023
29,Casino Jackpot,117927058.0,290909.0,100824,179,7564,13463,33,405.37,2023
30,Street Fighter 6,113312884.0,1636105.0,326275,2658,105033,12936,186,69.26,2023
31,ASMR,110695666.0,1400615.0,85961,433,30010,12637,159,79.03,2023
32,Rocket League,109010735.0,8350544.0,408512,2234,1156993,12445,953,13.05,2023
33,PUBG: BATTLEGROUNDS,99247819.0,5257954.0,187245,1198,249028,11330,600,18.88,2023
34,Path of Exile,98164288.0,1743239.0,441336,3507,53183,11207,199,56.31,2023
35,World of Tanks,96004929.0,1592338.0,75588,467,67932,10960,181,60.29,2023
36,Art,93604566.0,5584385.0,99665,1355,221557,10686,637,16.76,2023
37,Hogwarts Legacy,86367242.0,5430192.0,1249796,29306,531220,9860,619,15.91,2023
38,Destiny 2,83714829.0,6561683.0,517758,15527,328271,9557,749,12.76,2023
39,ELDEN RING,76258280.0,4079926.0,126207,1436,354123,8706,465,18.69,2023
40,Old School RuneScape,74132630.0,1335696.0,58090,708,38652,8463,152,55.5,2023
41,Albion Online,73495299.0,1016372.0,26648,332,31100,8390,116,72.31,2023
42,Black Desert,72228107.0,1708714.0,68499,430,47147,8246,195,42.27,2023
43,Dark and Darker,71641734.0,1104339.0,272197,2944,63474,8179,126,64.87,2023
