Year,Title,Developer,Note,Platform,Publisher,Rank,Sales
1980,Space Invaders,Taito,,Atari VCS,Atari,,"1,318,655"
1986,Super Mario Bros.,Nintendo R&D4,,NES,Nintendo,,"1,000,000+"
1988,Super Mario Bros./Duck Hunt,Nintendo,,[8][9],"2,000,000+",,N/A
1990,Super Mario Bros. 3,Nintendo R&D4,,[4][11],"8,000,000",,N/A
1991,Sonic the Hedgehog,Sonic Team,,Genesis,Sega,,"1,000,000+"
1992,Sonic the Hedgehog 2,Sega,,[13],"2,000,000",,N/A
1993,Mortal Kombat,Midway,,"1,000,000+",Acclaim,,[14]
1994,Donkey Kong Country,Rare,,SNES,Nintendo,,"2,057,006"
1996,Super Mario 64,Nintendo EAD,,"2,000,000+",N64,,[19][20]
1998,The Legend of Zelda: Ocarina of Time,Nintendo EAD,,,Nintendo,1.,
1998,WWF Warzone,"Iguana West, Probe Entertainment",,,Acclaim Entertainment,3.,
1998,NFL Blitz '99,Midway Games,,,Midway Games,4.,
1998,WCW/NWO Revenge,"Asmik Ace Entertainment, AKI Corporation",,,THQ,5.,
1998,Resident Evil 2,Capcom,,,Capcom,6.,
1998,Banjo-Kazooie,Rare,,,Nintendo,7.,
1998,Gran Turismo,Japan Studio,,,Sony Computer Entertainment,8.,
1998,Madden NFL 99,EA Tiburon,,,Electronic Arts,9.,
1998,Super Mario 64,Nintendo EAD,,,Nintendo,10.,
1999,Donkey Kong 64,Rare,,,Nintendo,1.,
1999,WWF Attitude,Acclaim Studios Salt Lake City,,,Acclaim Entertainment,5.,
1999,Pokémon Pinball,"Jupiter, HAL Laboratory",,,Nintendo,6.,
1999,Driver,Reflections Interactive,,,GT Interactive,9.,
1999,Final Fantasy VIII,Square,,,Square Electronic Arts,10,
2000,Pokémon Gold/Silver,Game Freak,,,Nintendo,1.,
2000,Tony Hawk's Pro Skater,Neversoft,,,Activision,3.,
2000,The Legend of Zelda: Majora's Mask,Nintendo EAD,,,Nintendo,5.,
2000,Madden NFL 2001,EA Tiburon,,,Electronic Arts,6.,
2000,Diablo II,Blizzard North,,,Blizzard Entertainment,8.,
2000,Pokémon Yellow,Game Freak,,,Nintendo,9.,
2000,Perfect Dark,Rare,,,Rare,10,
2001,Madden NFL 2002,EA Tiburon,,,Electronic Arts,1.,
2001,Grand Theft Auto III,DMA Design,,,Rockstar Games,2.,
